         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
89, 1.82043, 8.63657, 29.2571, 0.125673, 0.113287, -0.181964, -0.182797, -0.181957, -0.3443, -0.026, 1.88844, 8.69203, 23.6373, 0.156464, 0.112937, -0.214787, -0.21714, -0.215402
90, 1.88844, 8.69203, 23.6373, 0.156464, 0.112937, -0.214787, -0.21714, -0.215402, 0.2619, 0.3771, 1.95945, 8.74174, 17.4322, 0.11676, 0.0825315, -0.212519, -0.212885, -0.211929
91, 1.95945, 8.74174, 17.4322, 0.11676, 0.0825315, -0.212519, -0.212885, -0.211929, -0.4214, 0.4029, 2.01546, 8.77826, 9.87822, 0.111173, 0.0647908, -0.331738, -0.334023, -0.330772
92, 2.01546, 8.77826, 9.87822, 0.111173, 0.0647908, -0.331738, -0.334023, -0.330772, 0.1489, 0.3798, 2.06321, 8.80582, -0.173666, 0.0728763, 0.0457142, -0.351969, -0.352413, -0.350671
93, 2.06321, 8.80582, -0.173666, 0.0728763, 0.0457142, -0.351969, -0.352413, -0.350671, 0.3166, 0.205, 2.08588, 8.82558, -9.35974, 0.0200876, 0.0350609, -0.281491, -0.281133, -0.280703
94, 2.08588, 8.82558, -9.35974, 0.0200876, 0.0350609, -0.281491, -0.281133, -0.280703, 0.0904, 0.1579, 2.08688, 8.84188, -16.753, -0.0128034, 0.0309112, -0.24121, -0.241232, -0.24075
95, 2.08688, 8.84188, -16.753, -0.0128034, 0.0309112, -0.24121, -0.241232, -0.24075, -0.3763, -0.1784, 2.08728, 8.85275, -23.5754, 0.0228084, 0.00931424, -0.239039, -0.239716, -0.239133
96, 2.08728, 8.85275, -23.5754, 0.0228084, 0.00931424, -0.239039, -0.239716, -0.239133, -0.3531, -0.2409, 2.11087, 8.84985, -30.2824, 0.0722661, -0.0225058, -0.227101, -0.227928, -0.227438
97, 2.11087, 8.84985, -30.2824, 0.0722661, -0.0225058, -0.227101, -0.227928, -0.227438, 0.0521, -0.1136, 2.15099, 8.83428, -35.956, 0.0817071, -0.0359641, -0.16288, -0.16316, -0.163153
98, 2.15099, 8.83428, -35.956, 0.0817071, -0.0359641, -0.16288, -0.16316, -0.163153, -0.4872, 0.1941, 2.1956, 8.81124, -41.5929, 0.0977131, -0.0577403, -0.25263, -0.253979, -0.2524
99, 2.1956, 8.81124, -41.5929, 0.0977131, -0.0577403, -0.25263, -0.253979, -0.2524, 0.4174, 0.1116, 2.23822, 8.78569, -48.2036, 0.0660171, -0.0371175, -0.182219, -0.181918, -0.182099
100, 2.23822, 8.78569, -48.2036, 0.0660171, -0.0371175, -0.182219, -0.181918, -0.182099, 0.4897, 0.2897, 2.25851, 8.77899, -52.1953, 0.0137018, 0.0138548, -0.102033, -0.101509, -0.101625
