         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
128, 0, 0, 0, 39.882, 86.3031, 0.184821, 5.55675e-07, -1.26112e-07, -1.12425e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
129, 0, 0, 0, 57.2032, -45.1833, 0.734808, 0.0675749, -1.69371e-05, 0.00126458
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
130, 0, 0, 0, 11.6156, 7.4817, 1.92718, 2.17275e-05, -2.37034e-05, 0.000206292
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
131, 0, 0, 0, -28.297, 10.8833, 4.91, -1.20287e-06, -1.08444e-06, -2.57601e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
132, 0, 0, 0, 91.2023, -89.1977, 0.68692, -0.000972595, -5.23253e-07, 2.59504e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
133, 0, 0, 0, -66.2561, 96.1243, 0.187922, 1.39653e-06, -6.88768e-07, -2.60932e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
134, 0, 0, 0, 42.0907, -0.7755, 4.52163, 5.01925e-06, 6.46086e-07, 1.01518e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
135, 0, 0, 0, 3.5544, 32.2306, 4.92244, 2.03658e-05, 5.93637e-06, 5.21536e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
136, 0, 0, 0, -54.5272, 65.0076, 1.93036, 5.74319e-05, -1.37252e-24, 0.000304647
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
137, 0, 0, 0, 8.048, -82.4011, 1.65303, -2.0458e-07, -4.99445e-07, -1.41239e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
138, 0, 0, 0, 83.9393, 75.6298, 1.84684, 1.46813e-06, -8.89728e-07, 2.6418e-06
